BOATO,BOATO,,COMPSET1
BOBINE,BOBINE,,COMPSET1
BOC-GASES,BOC GASES,,COMPSET1
BODINE,BODINE,,COMPSET1
BOGE,BOGE COMPRESSED AIR SYSTEMS,,COMPSET1
BOLLE,BOLLE SAFETY,,COMPSET1
BOLT-EMER,BOLTON EMERSON AMERICAS INC.,,COMPSET1
BOMAR,BOMAR,,COMPSET1
BOND-PAVE,BONDIOLI-PAVESI,,COMPSET1
BONDHUS,BONDHUS CORPORATION,,COMPSET1
BONFIGLIOLI,BONFIGLIOLI,,COMPSET1
BONITRON,BONITRON,,COMPSET1
BONNEY-FORGE,BONNEY FORGE,,COMPSET1
BONOMI,BONOMI,,COMPSET1
BOOT-BOY,BOOT-BOY INDUSTRIES,,COMPSET1
BORNANN,BORNANN GMBH,,COMPSET1
BOSCH,BOSCH,,COMPSET1
BOSCHERT,BOSCHERT,,COMPSET1
BOSHART,BOSHART,,COMPSET1
BOSTITCH,BOSTITCH,,COMPSET1
BOSTON-GEAR,BOSTON GEAR,,COMPSET1
BOTCH,BOTCH,,COMPSET1
BOUR-HAEN,BOURDON HAENNI,,COMPSET1
BOURNS,BOURNS,,COMPSET1
BOWER/BCA,BOWER/BCA,,COMPSET1
BRAD-CORP,BRADLEY CORPORATION,,COMPSET1
BRAD-HARR,BRAD HARRISON,,COMPSET1
BRAD-PULV,BRADLEY PULVERIZER,,COMPSET1
BRADLEY,BRADLEY MILL,,COMPSET1
BRADY,BRADY,,COMPSET1
BRAILSFORD,BRAILSFORD COMPANY,,COMPSET1
BRAINCHILD,BRAINCHILD ELECTRONIC CO.,,COMPSET1
BRAK-IT,BRAK-IT,,COMPSET1
BRAK-ROLL,BRAKE ROLLER COMPANY,,COMPSET1
BRAM-PROD,BRAMCAL PRODUCTION CO,,COMPSET1
BRAN-HYDR,BRAND HYDRAULICS,,COMPSET1
BRAUKMAN,BRAUKMAN,,COMPSET1
BRAY-INTL,BRAY INT'L (VAAS BRAND),,COMPSET1
BREC-CPLG,BRECO COUPLING INC.,,COMPSET1
BRECKNELL,BRECKNELL (DIV OF AVERY WEIGH-TRONIX),,COMPSET1
BRECOFLEX,"BRECOFLEX CO.,L.L.C",,COMPSET1
BREEZE,BREEZE,,COMPSET1
BREMSKERL,BREMSKERL,,COMPSET1
BREVINI,BREVINI,,COMPSET1
BREWER,BREWER,,COMPSET1
BRIDGEPORT,BRIDGEPORT SWITCH,,COMPSET1
