IKO_Import,IKO_JOBMATERIAL,AddChange,EN
JP_ORGID,JP_SITEID,JP_JPNUM,PLUSCREVNUM,ITEMNUM,ITEMQTY,ITEMSETID
IKO-CAD,GI,GIR3679PEMO4,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO4,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO3,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO3,0,9104395,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO3,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO2,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO2,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO2,0,9104395,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO1,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO1,0,9104395,1,ITEMSET1
